Tool,Platform,Encryption_Speed (ms),Decryption_Speed (ms),CPU_Usage (%),Memory_Usage (MB),Security_Level,Compatibility
RSA,MacOS,7.48,6.12,37.61,291.11,Low,Low
ECC,Android,9.56,7.5,35.36,299.04,Medium,High
ECC,Linux,6.98,5.08,19.06,59.29,Medium,High
ECC,Android,7.15,7.77,33.42,14.13,High,High
DES,MacOS,5.07,2.82,37.58,87.22,Low,Low
RSA,Linux,9.35,1.07,43.53,87.53,High,High
ECC,iOS,3.57,8.77,13.8,157.9,Low,High
AES,Linux,4.67,5.68,41.22,402.47,High,High
Blowfish,Windows,0.83,9.91,34.65,437.68,Low,Medium
ECC,Android,7.67,9.92,28.81,493.35,High,Medium
DES,Android,2.02,9.66,26.65,62.69,Medium,Low
DES,MacOS,3.69,9.97,43.14,372.42,Medium,High
AES,Linux,6.8,6.78,26.22,170.39,High,High
Blowfish,Linux,5.95,5.77,10.17,325.6,High,Medium
ECC,Linux,7.98,1.54,25.41,456.15,Medium,Low
AES,Android,1.31,0.5,36.86,128.48,Medium,High
RSA,Android,9.49,8.54,16.2,349.46,Medium,High
AES,MacOS,9.33,8.83,35.92,249.86,Medium,Low
AES,Android,6.83,7.06,14.47,246.23,Medium,Medium
ECC,Windows,6.37,4.15,46.23,76.46,Low,Medium
Blowfish,Linux,6.53,2.12,40.29,349.61,High,Low
DES,MacOS,0.73,4.08,43.68,418.6,High,Low
AES,Android,7.57,1.13,38.66,466.62,High,Medium
RSA,Android,7.08,3.18,6.79,178.1,Low,Low
DES,Windows,5.27,3.71,31.17,135.24,High,Low
ECC,iOS,8.24,4.74,6.43,384.64,High,Low
Blowfish,iOS,2.17,1.02,10.33,212.16,Medium,High
Blowfish,Windows,2.09,8.19,40.06,235.38,High,High
AES,Windows,2.83,5.65,12.45,180.5,Medium,Medium
RSA,Android,9.68,4.75,23.49,120.74,High,High
AES,Linux,3.78,7.51,30.49,351.59,High,High
ECC,iOS,3.02,8.37,27.24,327.45,Low,Low
RSA,Android,2.33,6.3,14.62,166.62,Medium,Low
DES,iOS,4.68,3.1,15.19,462.05,High,Low
RSA,Windows,9.94,4.97,16.3,392.37,High,Low
RSA,Android,8.54,9.49,38.53,131.62,Medium,Medium
DES,iOS,0.96,5.2,13.12,276.59,Low,Low
